	Media Sources	Tweet Polarity	Tweets Ago
0	BBC	0.3744	1
1	BBC	0.5719	2
2	BBC	0.0	3
3	BBC	-0.5994	4
4	BBC	-0.6249	5
5	BBC	-0.2942	6
6	BBC	-0.6369	7
7	BBC	0.3818	8
8	BBC	0.0	9
9	BBC	0.0	10
10	BBC	0.7906	11
11	BBC	0.0	12
12	BBC	0.3612	13
13	BBC	0.4019	14
14	BBC	0.0	15
15	BBC	0.6439	16
16	BBC	0.8658	17
17	BBC	0.0	18
18	BBC	0.0	19
19	BBC	0.0	20
20	BBC	0.4215	21
21	BBC	-0.4215	22
22	BBC	0.34	23
23	BBC	0.0	24
24	BBC	0.0	25
25	BBC	0.3612	26
26	BBC	0.1511	27
27	BBC	0.7906	28
28	BBC	-0.8126	29
29	BBC	-0.3595	30
30	BBC	0.0	31
31	BBC	0.0	32
32	BBC	-0.5848	33
33	BBC	0.6249	34
34	BBC	-0.6808	35
35	BBC	0.0	36
36	BBC	0.0	37
37	BBC	0.9112	38
38	BBC	0.4588	39
39	BBC	-0.3595	40
40	BBC	0.0	41
41	BBC	0.0	42
42	BBC	-0.4824	43
43	BBC	0.1531	44
44	BBC	0.0	45
45	BBC	0.0	46
46	BBC	0.0	47
47	BBC	-0.34	48
48	BBC	-0.6249	49
49	BBC	-0.1779	50
50	BBC	0.0	51
51	BBC	0.0	52
52	BBC	0.0	53
53	BBC	0.0	54
54	BBC	0.0	55
55	BBC	0.6808	56
56	BBC	-0.6249	57
57	BBC	-0.296	58
58	BBC	0.2225	59
59	BBC	0.0	60
60	BBC	-0.6908	61
61	BBC	-0.6124	62
62	BBC	0.5719	63
63	BBC	0.0	64
64	BBC	0.2732	65
65	BBC	0.7177	66
66	BBC	-0.6879	67
67	BBC	0.0	68
68	BBC	0.128	69
69	BBC	-0.4767	70
70	BBC	0.0	71
71	BBC	-0.4939	72
72	BBC	0.3612	73
73	BBC	0.0	74
74	BBC	-0.2263	75
75	BBC	0.5106	76
76	BBC	-0.6115	77
77	BBC	0.1591	78
78	BBC	0.6597	79
79	BBC	0.0	80
80	BBC	0.6369	81
81	BBC	0.0	82
82	BBC	0.0	83
83	BBC	0.5267	84
84	BBC	0.2023	85
85	BBC	-0.1027	86
86	BBC	-0.0516	87
87	BBC	-0.4404	88
88	BBC	-0.2617	89
89	BBC	0.3818	90
90	BBC	0.0	91
91	BBC	0.4137	92
92	BBC	0.7778	93
93	BBC	0.0	94
94	BBC	0.5789	95
95	BBC	0.4939	96
96	BBC	-0.34	97
97	BBC	0.0	98
98	BBC	0.6369	99
99	BBC	0.5859	100
100	CBS	0.6166	1
101	CBS	0.0	2
102	CBS	0.6514	3
103	CBS	0.6369	4
104	CBS	0.6514	5
105	CBS	0.0	6
106	CBS	0.0	7
107	CBS	0.0	8
